cluster	hgnc	log2fc	pvalue	padj	n_donors_ssc	n_donors_hc	in_deg_output
Peri_RGS5	S100A4	-0.7001	1.119e-06	8.023e-05	94	55	yes
Peri_RGS5	CDH5	1.5614	0.006667	0.1051	94	55	yes
Peri_RGS5	PECAM1	1.0914	0.02312	0.2252	94	55	yes
Peri_RGS5	NOTCH1	0.7575	0.2442	0.6864	94	55	yes
Peri_RGS5	NOTCH3	0.0418	0.862	1	94	55	yes
Peri_RGS5	JAG1	-0.0563	0.8521	1	94	55	yes
Peri_RGS5	JAG2	1.7829	0.07632	0.4172	94	55	yes
Peri_RGS5	DLL1	0.4194	0.4645	0.8422	94	55	yes
Peri_RGS5	DLL4	1.4828	0.3289	0.753	94	55	yes
Peri_RGS5	HES1	-0.0450	0.8626	1	94	55	yes
Peri_RGS5	HEY1	1.1711	0.2252	0.6607	94	55	yes
Peri_RGS5	DTX1	-0.2400	0.7299	0.9665	94	55	yes
Peri_RGS5	MAML1	0.3620	0.5021	0.8697	94	55	yes
Peri_RGS5	NUMB	0.5745	0.05199	0.3447	94	55	yes
Peri_RGS5	EDN1	0.8126	0	0	94	55	yes
Peri_RGS5	EDNRA	0.4545	0.06179	0.3799	94	55	yes
Peri_RGS5	EDNRB	0.1203	0.7335	0.9665	94	55	yes
Peri_RGS5	NOS3	0.6749	0.3552	0.7708	94	55	yes
Peri_RGS5	VEGFA	0.1408	0.7316	0.9665	94	55	yes
Peri_RGS5	ANGPT2						no
Peri_RGS5	ROCK1	-0.4025	0.07371	0.4116	94	55	yes
Peri_RGS5	ROCK2	0.1322	0.5115	0.8738	94	55	yes
Peri_RGS5	RHOA	-0.1868	0.1141	0.5067	94	55	yes
Peri_TGFBI	SNAI1	0.9589	0.01888	0.2003	95	55	yes
Peri_TGFBI	SNAI2						no
Peri_TGFBI	ZEB1	-0.0673	0.7471	0.9711	95	55	yes
Peri_TGFBI	ZEB2	0.3003	0.069	0.4	95	55	yes
Peri_TGFBI	TWIST1	-0.1601	0.4144	0.8143	95	55	yes
Peri_TGFBI	PRRX1						no
Peri_TGFBI	ACTA2	0.8079	0.005202	0.0891	95	55	yes
Peri_TGFBI	FN1	0.3550	0.03324	0.2807	95	55	yes
Peri_TGFBI	CDH2						no
Peri_TGFBI	FAP	-0.2633	0.2724	0.7095	95	55	yes
Peri_TGFBI	S100A4	-0.4302	0.001341	0.03374	95	55	yes
Peri_TGFBI	CDH5	0.1424	0.7523	0.9721	95	55	yes
Peri_TGFBI	PECAM1						no
Peri_TGFBI	NOTCH1	0.0412	0.9211	1	95	55	yes
Peri_TGFBI	NOTCH3	0.4379	0.04771	0.3302	95	55	yes
Peri_TGFBI	JAG1	0.4877	0.05338	0.3509	95	55	yes
Peri_TGFBI	JAG2	1.3782	0.1643	0.5861	95	55	yes
Peri_TGFBI	DLL1	-0.2179	0.6514	0.9369	95	55	yes
Peri_TGFBI	DLL4	0.9216	0.4759	0.8494	95	55	yes
Peri_TGFBI	HES1	0.1204	0.6087	0.9206	95	55	yes
Peri_TGFBI	HEY1	0.6978	0.2933	0.7269	95	55	yes
Peri_TGFBI	DTX1	-0.7780	0.1484	0.5624	95	55	yes
Peri_TGFBI	MAML1						no
Peri_TGFBI	NUMB	0.1781	0.457	0.8371	95	55	yes
Peri_TGFBI	EDN1	0.7286	0.3252	0.7504	95	55	yes
Peri_TGFBI	EDNRA	0.2055	0.2967	0.7286	95	55	yes
Peri_TGFBI	EDNRB	0.2188	0.4538	0.8351	95	55	yes
Peri_TGFBI	NOS3						no
Peri_TGFBI	VEGFA	0.8355	0.01252	0.1538	95	55	yes
Peri_TGFBI	ANGPT2	1.2569	0.0001452	0.005931	95	55	yes
Peri_TGFBI	ROCK1	-0.1185	0.5681	0.9033	95	55	yes
Peri_TGFBI	ROCK2	0.0786	0.632	0.9283	95	55	yes
Peri_TGFBI	RHOA	-0.1796	0.06524	0.3903	95	55	yes
