dataset	tissue	cluster	hgnc	species_id	module	log2fc
tabib2021	skin	fibroblast_other	SNX10			2.034
tabib2021	skin	fibroblast_other	GGCT			0.556
tabib2021	skin	fibroblast_other	AC018647.2			-0.911
tabib2021	skin	fibroblast_other	ANLN			2.581
tabib2021	skin	fibroblast_other	SUGCT			1.017
tabib2021	skin	fibroblast_other	STK17A			0.560
tabib2021	skin	fibroblast_other	AEBP1			0.794
tabib2021	skin	fibroblast_other	YKT6			0.652
tabib2021	skin	fibroblast_other	ADCY1			-1.242
tabib2021	skin	fibroblast_other	VWC2			-2.325
tabib2021	skin	fibroblast_other	FIGNL1			-0.721
tabib2021	skin	fibroblast_other	PSPH			0.849
tabib2021	skin	fibroblast_other	ZNF138			-0.527
tabib2021	skin	fibroblast_other	AC008267.5			-0.523
tabib2021	skin	fibroblast_other	ELN			0.958
tabib2021	skin	fibroblast_other	EIF4H			-0.366
tabib2021	skin	fibroblast_other	RHBDD2			0.497
tabib2021	skin	fibroblast_other	GSAP			-1.287
tabib2021	skin	fibroblast_other	RSBN1L			-0.490
tabib2021	skin	fibroblast_other	SEMA3D			-1.147
tabib2021	skin	fibroblast_other	TMEM243			-0.353
tabib2021	skin	fibroblast_other	STEAP1			1.402
tabib2021	skin	fibroblast_other	TFPI2			-1.948
tabib2021	skin	fibroblast_other	COL1A2	COL1A2__ext	ssc_tier1	0.795
tabib2021	skin	fibroblast_other	PDK4			-1.567
tabib2021	skin	fibroblast_other	BRI3			0.741
tabib2021	skin	fibroblast_other	PILRB			-0.979
tabib2021	skin	fibroblast_other	C7orf61			-1.189
tabib2021	skin	fibroblast_other	PCOLCE			0.914
tabib2021	skin	fibroblast_other	PMPCB			-0.533
tabib2021	skin	fibroblast_other	HBP1			-0.453
tabib2021	skin	fibroblast_other	LSMEM1			-1.163
tabib2021	skin	fibroblast_other	ING3			-0.601
tabib2021	skin	fibroblast_other	CPED1			-0.765
tabib2021	skin	fibroblast_other	AC006333.2			-0.867
tabib2021	skin	fibroblast_other	IMPDH1			0.744
tabib2021	skin	fibroblast_other	CALU			0.865
tabib2021	skin	fibroblast_other	CALD1			0.518
tabib2021	skin	fibroblast_other	STMP1			0.523
tabib2021	skin	fibroblast_other	NDUFB2			0.352
tabib2021	skin	fibroblast_other	TMEM176A			1.110
tabib2021	skin	fibroblast_other	ABCB8			0.563
tabib2021	skin	fibroblast_other	CDK5			0.768
tabib2021	skin	fibroblast_other	PRKAG2-AS1			-1.006
tabib2021	skin	fibroblast_other	PAXIP1-AS1			-0.744
tabib2021	skin	fibroblast_other	NLGN4X			2.172
tabib2021	skin	fibroblast_other	PIR			-0.917
tabib2021	skin	fibroblast_other	PDHA1			-0.301
tabib2021	skin	fibroblast_other	CNKSR2			-1.431
tabib2021	skin	fibroblast_other	PRDX4			0.445
tabib2021	skin	fibroblast_other	PDK3			0.905
tabib2021	skin	fibroblast_other	SRPX			0.601
tabib2021	skin	fibroblast_other	MID1IP1			-0.383
tabib2021	skin	fibroblast_other	NDUFB11			0.241
tabib2021	skin	fibroblast_other	CDK16			0.573
tabib2021	skin	fibroblast_other	ARAF			0.556
tabib2021	skin	fibroblast_other	SLC38A5			1.285
tabib2021	skin	fibroblast_other	PRAF2			0.523
tabib2021	skin	fibroblast_other	MAGED1			0.851
tabib2021	skin	fibroblast_other	AR			-0.881
tabib2021	skin	fibroblast_other	LINC00891			-1.103
tabib2021	skin	fibroblast_other	MAGEE1			-1.103
tabib2021	skin	fibroblast_other	BRWD3			-0.989
tabib2021	skin	fibroblast_other	ARMCX1			-0.594
tabib2021	skin	fibroblast_other	GPRASP1			-0.867
tabib2021	skin	fibroblast_other	TSC22D3			-0.734
tabib2021	skin	fibroblast_other	NXT2			0.698
tabib2021	skin	fibroblast_other	PAK3			-1.291
tabib2021	skin	fibroblast_other	NKRF			-0.650
tabib2021	skin	fibroblast_other	LAMP2			0.469
tabib2021	skin	fibroblast_other	HS6ST2			-0.648
tabib2021	skin	fibroblast_other	HPRT1			0.839
tabib2021	skin	fibroblast_other	IDS			-0.574
tabib2021	skin	fibroblast_other	HMGB3			1.012
tabib2021	skin	fibroblast_other	BGN			1.125
tabib2021	skin	fibroblast_other	SSR4			0.410
tabib2021	skin	fibroblast_other	NAA10			0.403
tabib2021	skin	fibroblast_other	FAM50A			0.456
tabib2021	skin	fibroblast_other	LAGE3			0.539
tabib2021	skin	fibroblast_other	G6PD			0.454
tabib2021	skin	fibroblast_other	CTSB			1.443
tabib2021	skin	fibroblast_other	LONRF1			-0.861
tabib2021	skin	fibroblast_other	PDGFRL			-0.736
tabib2021	skin	fibroblast_other	PSD3			-0.688
tabib2021	skin	fibroblast_other	LPL			0.912
tabib2021	skin	fibroblast_other	HR			1.012
tabib2021	skin	fibroblast_other	BMP1			1.157
tabib2021	skin	fibroblast_other	CCAR2			0.528
tabib2021	skin	fibroblast_other	SCARA5			-1.544
tabib2021	skin	fibroblast_other	KIF13B			-0.954
tabib2021	skin	fibroblast_other	LEPROTL1			0.594
tabib2021	skin	fibroblast_other	UBXN8			0.650
tabib2021	skin	fibroblast_other	PLPBP			-0.603
tabib2021	skin	fibroblast_other	EIF4EBP1			0.725
tabib2021	skin	fibroblast_other	GPAT4			0.351
tabib2021	skin	fibroblast_other	SMIM19			-0.421
tabib2021	skin	fibroblast_other	LYPLA1			0.657
tabib2021	skin	fibroblast_other	LINC00968			2.335
tabib2021	skin	fibroblast_other	AC104051.2			-1.733
tabib2021	skin	fibroblast_other	CYP7B1			1.103
tabib2021	skin	fibroblast_other	MSC			0.781
tabib2021	skin	fibroblast_other	TERF1			-0.433
tabib2021	skin	fibroblast_other	RPL7			-0.326
tabib2021	skin	fibroblast_other	IL7			1.243
tabib2021	skin	fibroblast_other	STMN2			1.339
tabib2021	skin	fibroblast_other	LRRCC1			-0.604
tabib2021	skin	fibroblast_other	TMEM64			0.695
tabib2021	skin	fibroblast_other	AC103770.1			3.086
tabib2021	skin	fibroblast_other	PDP1			-0.538
tabib2021	skin	fibroblast_other	RIDA			0.920
tabib2021	skin	fibroblast_other	OSR2			-1.033
tabib2021	skin	fibroblast_other	AZIN1-AS1			-0.564
tabib2021	skin	fibroblast_other	BAALC			2.402
tabib2021	skin	fibroblast_other	CTHRC1			1.361
tabib2021	skin	fibroblast_other	SLC25A32			0.539
tabib2021	skin	fibroblast_other	SYBU			-0.411
tabib2021	skin	fibroblast_other	MRPL13			0.300
tabib2021	skin	fibroblast_other	HAS2-AS1			-0.971
tabib2021	skin	fibroblast_other	MTSS1			-1.486
tabib2021	skin	fibroblast_other	ASAP1			0.542
tabib2021	skin	fibroblast_other	TMEM71			-2.030
tabib2021	skin	fibroblast_other	WISP1			1.189
tabib2021	skin	fibroblast_other	KHDRBS3			1.142
tabib2021	skin	fibroblast_other	TSTA3			0.509
tabib2021	skin	fibroblast_other	MFSD3			0.621
tabib2021	skin	fibroblast_other	DMAC1			0.350
tabib2021	skin	fibroblast_other	AL583785.1			1.275
tabib2021	skin	fibroblast_other	PSIP1			-0.583
tabib2021	skin	fibroblast_other	TOPORS			-0.429
tabib2021	skin	fibroblast_other	DNAI1			-2.219
tabib2021	skin	fibroblast_other	CCL19			1.917
tabib2021	skin	fibroblast_other	DNAJB5			0.994
tabib2021	skin	fibroblast_other	TESK1			0.475
tabib2021	skin	fibroblast_other	NPR2			-1.017
tabib2021	skin	fibroblast_other	HINT2			-0.404
tabib2021	skin	fibroblast_other	ALDH1B1			0.814
tabib2021	skin	fibroblast_other	FAM27C			3.567
tabib2021	skin	fibroblast_other	FAM189A2			-1.598
tabib2021	skin	fibroblast_other	ALDH1A1			-1.392
tabib2021	skin	fibroblast_other	ANXA1			-0.552
tabib2021	skin	fibroblast_other	RORB			-1.057
tabib2021	skin	fibroblast_other	PCSK5			1.391
tabib2021	skin	fibroblast_other	PRUNE2			-1.098
tabib2021	skin	fibroblast_other	GOLM1			0.601
tabib2021	skin	fibroblast_other	NXNL2			-2.661
tabib2021	skin	fibroblast_other	SECISBP2			-0.401
tabib2021	skin	fibroblast_other	AL158071.1			1.429
tabib2021	skin	fibroblast_other	TMOD1			-2.385
tabib2021	skin	fibroblast_other	XPA			-0.365
tabib2021	skin	fibroblast_other	COL15A1			0.785
tabib2021	skin	fibroblast_other	MSANTD3			0.776
tabib2021	skin	fibroblast_other	TMEM246			-1.303
tabib2021	skin	fibroblast_other	GRIN3A			-2.218
tabib2021	skin	fibroblast_other	ZNF483			-1.230
tabib2021	skin	fibroblast_other	SLC31A1			0.530
tabib2021	skin	fibroblast_other	RGS3			0.823
tabib2021	skin	fibroblast_other	TNC	TNC__ecm	ssc_tier1	2.438
tabib2021	skin	fibroblast_other	GSN			-1.343
tabib2021	skin	fibroblast_other	RABGAP1			1.251
tabib2021	skin	fibroblast_other	CRB2			1.840
tabib2021	skin	fibroblast_other	NEK6			1.018
tabib2021	skin	fibroblast_other	PPP6C			0.610
tabib2021	skin	fibroblast_other	ANGPTL2			0.525
tabib2021	skin	fibroblast_other	ENG			0.534
tabib2021	skin	fibroblast_other	ST6GALNAC4			0.601
tabib2021	skin	fibroblast_other	DPM2			0.471
tabib2021	skin	fibroblast_other	CERCAM			0.690
tabib2021	skin	fibroblast_other	ODF2			0.634
tabib2021	skin	fibroblast_other	LINC01503			1.475
tabib2021	skin	fibroblast_other	ABL1			-0.404
tabib2021	skin	fibroblast_other	COL5A1	COL5A1__ext	ssc_tier1	0.756
tabib2021	skin	fibroblast_other	OLFM1			-0.515
tabib2021	skin	fibroblast_other	ENTR1			0.825
tabib2021	skin	fibroblast_other	TMEM141			0.453
tabib2021	skin	fibroblast_other	TRAF2			0.756
tabib2021	skin	fibroblast_other	UAP1L1			1.004
tabib2021	skin	fibroblast_other	BET1L			0.616
tabib2021	skin	fibroblast_other	IFITM2	IFITM2__cyto	M1	0.557
tabib2021	skin	fibroblast_other	IFITM3	IFITM3__cyto	M1	0.837
tabib2021	skin	fibroblast_other	PTDSS2			0.610
tabib2021	skin	fibroblast_other	IRF7	IRF7__cyto	ssc_tier1	0.809
tabib2021	skin	fibroblast_other	SCT			5.503
tabib2021	skin	fibroblast_other	TMEM80			-0.683
tabib2021	skin	fibroblast_other	PANO1			1.579
tabib2021	skin	fibroblast_other	POLR2L			0.881
tabib2021	skin	fibroblast_other	TOLLIP-AS1			-1.367
tabib2021	skin	fibroblast_other	CTSD			0.552
tabib2021	skin	fibroblast_other	AKIP1			0.490
tabib2021	skin	fibroblast_other	SCUBE2			1.669
tabib2021	skin	fibroblast_other	MRVI1			-1.160
tabib2021	skin	fibroblast_other	SAA2			5.301
tabib2021	skin	fibroblast_other	SAA1			3.381
tabib2021	skin	fibroblast_other	LUZP2			2.838
tabib2021	skin	fibroblast_other	DEPDC7			0.631
tabib2021	skin	fibroblast_other	CAT			-0.857
tabib2021	skin	fibroblast_other	CREB3L1			0.882
tabib2021	skin	fibroblast_other	MDK			1.066
tabib2021	skin	fibroblast_other	ARHGAP1			0.552
tabib2021	skin	fibroblast_other	MTCH2			0.638
tabib2021	skin	fibroblast_other	APLNR			2.207
tabib2021	skin	fibroblast_other	SELENOH			0.360
tabib2021	skin	fibroblast_other	AHNAK			-0.722
tabib2021	skin	fibroblast_other	B3GAT3			0.395
tabib2021	skin	fibroblast_other	GANAB			0.565
tabib2021	skin	fibroblast_other	POLR2G			0.351
tabib2021	skin	fibroblast_other	AP001160.3			-1.016
tabib2021	skin	fibroblast_other	PPP1R14B			1.200
tabib2021	skin	fibroblast_other	GPR137			0.589
tabib2021	skin	fibroblast_other	RPS6KA4			0.688
tabib2021	skin	fibroblast_other	MEN1			0.723
tabib2021	skin	fibroblast_other	ATG2A			-0.547
tabib2021	skin	fibroblast_other	CDC42EP2			-0.608
tabib2021	skin	fibroblast_other	SCYL1			0.324
tabib2021	skin	fibroblast_other	RELA			0.413
tabib2021	skin	fibroblast_other	RNASEH2C			0.416
tabib2021	skin	fibroblast_other	CFL1			0.500
tabib2021	skin	fibroblast_other	EFEMP2			0.702
tabib2021	skin	fibroblast_other	DPP3			0.746
tabib2021	skin	fibroblast_other	CTSF			-0.483
tabib2021	skin	fibroblast_other	PITPNM1			1.063
tabib2021	skin	fibroblast_other	C11orf24			0.505
tabib2021	skin	fibroblast_other	GAL			3.317
tabib2021	skin	fibroblast_other	IL18BP			2.156
tabib2021	skin	fibroblast_other	ANAPC15			0.528
tabib2021	skin	fibroblast_other	STARD10			0.522
tabib2021	skin	fibroblast_other	P4HA3			1.846
tabib2021	skin	fibroblast_other	SERPINH1			0.837
tabib2021	skin	fibroblast_other	TENM4			1.652
tabib2021	skin	fibroblast_other	TMEM126A			0.435
tabib2021	skin	fibroblast_other	SYTL2			1.080
tabib2021	skin	fibroblast_other	ME3			1.532
tabib2021	skin	fibroblast_other	PRSS23			2.697
tabib2021	skin	fibroblast_other	CTSC			1.838
tabib2021	skin	fibroblast_other	NOX4			2.373
tabib2021	skin	fibroblast_other	SMCO4			0.790
tabib2021	skin	fibroblast_other	CWC15			-0.336
tabib2021	skin	fibroblast_other	ENDOD1			-0.936
tabib2021	skin	fibroblast_other	ANGPTL5			-1.265
tabib2021	skin	fibroblast_other	DCUN1D5			0.348
tabib2021	skin	fibroblast_other	COLCA2			-0.851
tabib2021	skin	fibroblast_other	SIK2			-0.549
tabib2021	skin	fibroblast_other	CRYAB			-0.561
tabib2021	skin	fibroblast_other	TIMM8B			0.659
tabib2021	skin	fibroblast_other	PTS			0.907
tabib2021	skin	fibroblast_other	ZBTB16			-1.403
tabib2021	skin	fibroblast_other	NNMT			1.124
tabib2021	skin	fibroblast_other	CCDC84			-0.427
tabib2021	skin	fibroblast_other	DPAGT1			0.517
tabib2021	skin	fibroblast_other	THY1			1.578
tabib2021	skin	fibroblast_other	FEZ1			-0.656
tabib2021	skin	fibroblast_other	FAM118B			0.832
tabib2021	skin	fibroblast_other	FLI1			1.016
tabib2021	skin	fibroblast_other	AKR1C2			-0.669
tabib2021	skin	fibroblast_other	SEC61A2			0.909
tabib2021	skin	fibroblast_other	CACNB2			2.058
tabib2021	skin	fibroblast_other	SVIL			-0.850
tabib2021	skin	fibroblast_other	RASSF4			1.031
tabib2021	skin	fibroblast_other	DEPP1			2.928
tabib2021	skin	fibroblast_other	ZWINT			1.599
tabib2021	skin	fibroblast_other	CISD1			0.704
tabib2021	skin	fibroblast_other	UBE2D1			0.738
tabib2021	skin	fibroblast_other	CDK1			3.344
tabib2021	skin	fibroblast_other	REEP3			0.854
tabib2021	skin	fibroblast_other	H2AFY2			1.770
tabib2021	skin	fibroblast_other	SAR1A			0.736
tabib2021	skin	fibroblast_other	VSIR			-0.647
tabib2021	skin	fibroblast_other	MICU1			0.380
tabib2021	skin	fibroblast_other	PLAU			1.364
tabib2021	skin	fibroblast_other	LINC00595			3.148
tabib2021	skin	fibroblast_other	PPIF			0.930
tabib2021	skin	fibroblast_other	CH25H			1.669
tabib2021	skin	fibroblast_other	SLC16A12			-2.590
tabib2021	skin	fibroblast_other	FRA10AC1			-0.304
tabib2021	skin	fibroblast_other	ALDH18A1			0.810
tabib2021	skin	fibroblast_other	ZDHHC16			0.720
tabib2021	skin	fibroblast_other	UBTD1			0.888
tabib2021	skin	fibroblast_other	SFRP5			-3.254
tabib2021	skin	fibroblast_other	CRTAC1			-1.580
tabib2021	skin	fibroblast_other	CUTC			-0.810
tabib2021	skin	fibroblast_other	KAZALD1			-0.938
tabib2021	skin	fibroblast_other	ADRA2A			1.415
tabib2021	skin	fibroblast_other	EMX2OS			-0.580
tabib2021	skin	fibroblast_other	RGS10			-0.491
tabib2021	skin	fibroblast_other	HTRA1			0.996
tabib2021	skin	fibroblast_other	LHPP			0.967
tabib2021	skin	fibroblast_other	ADAM12			2.962
tabib2021	skin	fibroblast_other	CCDC77			-0.547
tabib2021	skin	fibroblast_other	FOXM1			3.271
tabib2021	skin	fibroblast_other	TEAD4			2.995
tabib2021	skin	fibroblast_other	PLEKHG6			-1.488
tabib2021	skin	fibroblast_other	TNFRSF1A			0.601
tabib2021	skin	fibroblast_other	LTBR			0.404
tabib2021	skin	fibroblast_other	COPS7A			0.319
tabib2021	skin	fibroblast_other	P3H3			0.785
tabib2021	skin	fibroblast_other	C1S			0.391
tabib2021	skin	fibroblast_other	C1R			0.669
tabib2021	skin	fibroblast_other	RBP5			1.433
tabib2021	skin	fibroblast_other	DUSP16			-1.184
tabib2021	skin	fibroblast_other	SMCO3			2.270
tabib2021	skin	fibroblast_other	PTPRO			-3.589
tabib2021	skin	fibroblast_other	KCNJ8			-1.205
tabib2021	skin	fibroblast_other	CASC1			-1.675
tabib2021	skin	fibroblast_other	KRAS			-0.681
tabib2021	skin	fibroblast_other	SSPN			-0.836
tabib2021	skin	fibroblast_other	TM7SF3			-0.742
tabib2021	skin	fibroblast_other	STK38L			-0.553
tabib2021	skin	fibroblast_other	ARNTL2			1.235
tabib2021	skin	fibroblast_other	TMTC1			1.903
tabib2021	skin	fibroblast_other	AC023157.3			-1.137
tabib2021	skin	fibroblast_other	FGD4			-0.737
tabib2021	skin	fibroblast_other	TWF1			0.536
tabib2021	skin	fibroblast_other	NELL2			-4.378
tabib2021	skin	fibroblast_other	SLC38A4			2.840
tabib2021	skin	fibroblast_other	PCED1B			-1.033
tabib2021	skin	fibroblast_other	ENDOU			-1.676
tabib2021	skin	fibroblast_other	FKBP11			1.323
tabib2021	skin	fibroblast_other	ARF3			0.631
tabib2021	skin	fibroblast_other	COX14			0.370
tabib2021	skin	fibroblast_other	AC074032.1			-0.612
tabib2021	skin	fibroblast_other	KRT7			1.508
tabib2021	skin	fibroblast_other	AC068888.1			-1.099
tabib2021	skin	fibroblast_other	IGFBP6			-1.774
tabib2021	skin	fibroblast_other	PFDN5			-0.280
tabib2021	skin	fibroblast_other	HOXC8			1.189
tabib2021	skin	fibroblast_other	AC023794.2			-2.680
tabib2021	skin	fibroblast_other	COPZ1			0.385
tabib2021	skin	fibroblast_other	ORMDL2			0.588
tabib2021	skin	fibroblast_other	MMP19			0.849
tabib2021	skin	fibroblast_other	CDK2			1.041
tabib2021	skin	fibroblast_other	STAT2	STAT2__cyto	M1	0.677
tabib2021	skin	fibroblast_other	TIMELESS			1.429
tabib2021	skin	fibroblast_other	SHMT2			0.353
tabib2021	skin	fibroblast_other	DDIT3			-0.575
tabib2021	skin	fibroblast_other	USP15			-0.599
tabib2021	skin	fibroblast_other	AVPR1A			1.430
tabib2021	skin	fibroblast_other	AC090673.1			2.003
tabib2021	skin	fibroblast_other	CPM			1.586
tabib2021	skin	fibroblast_other	CAPS2			-0.969
tabib2021	skin	fibroblast_other	SYT1			-2.698
tabib2021	skin	fibroblast_other	RASSF9			-1.258
tabib2021	skin	fibroblast_other	ATP2B1			-0.649
tabib2021	skin	fibroblast_other	ATP2B1-AS1			-0.857
tabib2021	skin	fibroblast_other	LUM			0.950
tabib2021	skin	fibroblast_other	DCN			-0.532
tabib2021	skin	fibroblast_other	CHST11			1.074
tabib2021	skin	fibroblast_other	C12orf75			0.958
tabib2021	skin	fibroblast_other	CKAP4			0.665
tabib2021	skin	fibroblast_other	TCP11L2			-1.312
tabib2021	skin	fibroblast_other	MTERF2			-0.574
tabib2021	skin	fibroblast_other	ALDH2			-1.000
tabib2021	skin	fibroblast_other	SDSL			1.104
tabib2021	skin	fibroblast_other	PEBP1			-0.393
tabib2021	skin	fibroblast_other	RAB35			0.458
tabib2021	skin	fibroblast_other	CAMKK2			-0.497
tabib2021	skin	fibroblast_other	C12orf65			-0.601
tabib2021	skin	fibroblast_other	AC137767.1			0.709
tabib2021	skin	fibroblast_other	CCDC92			0.564
tabib2021	skin	fibroblast_other	PUS1			0.748
tabib2021	skin	fibroblast_other	ZNF84			-0.452
tabib2021	skin	fibroblast_other	CRYL1			-0.842
tabib2021	skin	fibroblast_other	SKA3			2.655
tabib2021	skin	fibroblast_other	SGCG			-1.631
tabib2021	skin	fibroblast_other	POMP			0.664
tabib2021	skin	fibroblast_other	SLC46A3			1.388
tabib2021	skin	fibroblast_other	EXOSC8			-0.481
tabib2021	skin	fibroblast_other	POSTN	POSTN__ecm	ssc_tier1	1.532
tabib2021	skin	fibroblast_other	TSC22D1			-0.670
tabib2021	skin	fibroblast_other	CDADC1			-0.507
tabib2021	skin	fibroblast_other	CAB39L			-1.144
tabib2021	skin	fibroblast_other	WDFY2			-0.717
tabib2021	skin	fibroblast_other	DHRS12			-0.801
tabib2021	skin	fibroblast_other	AL162377.1			-0.918
tabib2021	skin	fibroblast_other	PCDH8			-2.432
tabib2021	skin	fibroblast_other	DIAPH3			4.285
tabib2021	skin	fibroblast_other	DIS3			-0.536
tabib2021	skin	fibroblast_other	GPR180			0.951
tabib2021	skin	fibroblast_other	ABCC4			1.119
tabib2021	skin	fibroblast_other	DNAJC3-DT			-0.902
tabib2021	skin	fibroblast_other	DOCK9			-1.064
tabib2021	skin	fibroblast_other	UPF3A			-0.384
tabib2021	skin	fibroblast_other	CCNB1IP1			-0.586
tabib2021	skin	fibroblast_other	PARP2			-0.602
tabib2021	skin	fibroblast_other	RNASE1			1.128
tabib2021	skin	fibroblast_other	NDRG2			-0.790
tabib2021	skin	fibroblast_other	ARHGEF40			-0.635
tabib2021	skin	fibroblast_other	MMP14			0.805
tabib2021	skin	fibroblast_other	NGDN			-0.445
tabib2021	skin	fibroblast_other	ADCY4			1.811
tabib2021	skin	fibroblast_other	NOVA1			-1.139
tabib2021	skin	fibroblast_other	SLC25A21-AS1			-1.120
tabib2021	skin	fibroblast_other	LRFN5			-1.171
tabib2021	skin	fibroblast_other	KLHDC1			-0.807
tabib2021	skin	fibroblast_other	NID2			1.531
tabib2021	skin	fibroblast_other	PTGDR			-1.982
tabib2021	skin	fibroblast_other	CDKN3			2.367
tabib2021	skin	fibroblast_other	CNIH1			0.475
tabib2021	skin	fibroblast_other	CGRRF1			-0.511
tabib2021	skin	fibroblast_other	GCH1			1.212
tabib2021	skin	fibroblast_other	LGALS3			-0.573
tabib2021	skin	fibroblast_other	DLGAP5			2.934
tabib2021	skin	fibroblast_other	PELI2			-0.883
tabib2021	skin	fibroblast_other	PPP1R36			-1.174
tabib2021	skin	fibroblast_other	PIGH			-0.696
tabib2021	skin	fibroblast_other	GALNT16			-0.969
tabib2021	skin	fibroblast_other	AC004816.2			2.370
tabib2021	skin	fibroblast_other	ALDH6A1			-0.752
tabib2021	skin	fibroblast_other	TGFB3			0.592
tabib2021	skin	fibroblast_other	VASH1-AS1			1.437
tabib2021	skin	fibroblast_other	DIO2			1.764
tabib2021	skin	fibroblast_other	TSHR			2.558
tabib2021	skin	fibroblast_other	GPR68			1.383
tabib2021	skin	fibroblast_other	PPP4R4			2.044
tabib2021	skin	fibroblast_other	SERPINA5			-1.058
tabib2021	skin	fibroblast_other	C14orf132			-0.682
tabib2021	skin	fibroblast_other	ANKRD9			0.618
tabib2021	skin	fibroblast_other	CKB			-0.986
tabib2021	skin	fibroblast_other	BAG5			-0.666
tabib2021	skin	fibroblast_other	ZFYVE21			-0.444
tabib2021	skin	fibroblast_other	NUDT14			0.851
tabib2021	skin	fibroblast_other	IGHG2			1.886
tabib2021	skin	fibroblast_other	KLF13			-0.704
tabib2021	skin	fibroblast_other	GREM1			1.329
tabib2021	skin	fibroblast_other	NOP10			0.441
tabib2021	skin	fibroblast_other	THBS1	THBS1__ecm	ssc_tier1	1.953
tabib2021	skin	fibroblast_other	GCHFR			-1.004
tabib2021	skin	fibroblast_other	TTBK2			-0.553
tabib2021	skin	fibroblast_other	SERF2			0.710
tabib2021	skin	fibroblast_other	MFAP1			-0.407
tabib2021	skin	fibroblast_other	EIF3J			0.523
tabib2021	skin	fibroblast_other	TNFAIP8L3			0.853
tabib2021	skin	fibroblast_other	ADAM10			0.658
tabib2021	skin	fibroblast_other	MYO1E			0.885
tabib2021	skin	fibroblast_other	FAM96A			0.678
tabib2021	skin	fibroblast_other	PPIB			0.561
tabib2021	skin	fibroblast_other	PCLAF			2.147
tabib2021	skin	fibroblast_other	PIF1			2.593
tabib2021	skin	fibroblast_other	AC103691.1			1.466
tabib2021	skin	fibroblast_other	KIF23			1.452
tabib2021	skin	fibroblast_other	HEXA			0.501
tabib2021	skin	fibroblast_other	LOXL1-AS1			0.947
tabib2021	skin	fibroblast_other	LOXL1			0.531
tabib2021	skin	fibroblast_other	TSPAN3			0.377
tabib2021	skin	fibroblast_other	CIB2			0.822
tabib2021	skin	fibroblast_other	HYKK			-0.868
tabib2021	skin	fibroblast_other	CTSH			1.141
tabib2021	skin	fibroblast_other	TMED3			0.458
tabib2021	skin	fibroblast_other	ABHD17C			2.309
tabib2021	skin	fibroblast_other	CEMIP			3.751
tabib2021	skin	fibroblast_other	IL16			-0.910
tabib2021	skin	fibroblast_other	MRPS11			0.366
tabib2021	skin	fibroblast_other	ACAN			1.981
tabib2021	skin	fibroblast_other	HAPLN3			1.739
tabib2021	skin	fibroblast_other	IDH2			1.011
tabib2021	skin	fibroblast_other	LINC01197			-1.199
tabib2021	skin	fibroblast_other	ARRDC4			0.780
tabib2021	skin	fibroblast_other	CERS3-AS1			-2.561
tabib2021	skin	fibroblast_other	FAM234A			0.504
tabib2021	skin	fibroblast_other	TMEM8A			0.799
tabib2021	skin	fibroblast_other	NME4			0.612
tabib2021	skin	fibroblast_other	PIGQ			0.570
tabib2021	skin	fibroblast_other	METRN			1.478
tabib2021	skin	fibroblast_other	HAGHL			2.163
tabib2021	skin	fibroblast_other	CLCN7			0.886
tabib2021	skin	fibroblast_other	PAQR4			2.143
tabib2021	skin	fibroblast_other	TNFRSF12A			1.445
tabib2021	skin	fibroblast_other	IL32			1.686
tabib2021	skin	fibroblast_other	NAA60			0.549
tabib2021	skin	fibroblast_other	PPL			-1.078
tabib2021	skin	fibroblast_other	CARHSP1			0.819
tabib2021	skin	fibroblast_other	GDE1			0.501
tabib2021	skin	fibroblast_other	CDR2			0.425
tabib2021	skin	fibroblast_other	AC008915.2			1.295
tabib2021	skin	fibroblast_other	UBFD1			0.633
tabib2021	skin	fibroblast_other	MAZ			0.445
tabib2021	skin	fibroblast_other	SEPT1			-0.999
tabib2021	skin	fibroblast_other	VKORC1			0.398
tabib2021	skin	fibroblast_other	KAT8			-0.316
tabib2021	skin	fibroblast_other	ORC6			1.608
tabib2021	skin	fibroblast_other	AC007728.2			1.953
tabib2021	skin	fibroblast_other	FTO			0.577
tabib2021	skin	fibroblast_other	MT2A			1.400
tabib2021	skin	fibroblast_other	NLRC5			0.804
tabib2021	skin	fibroblast_other	CDH11			0.980
tabib2021	skin	fibroblast_other	CMTM3			0.430
tabib2021	skin	fibroblast_other	B3GNT9			1.041
tabib2021	skin	fibroblast_other	E2F4			0.383
tabib2021	skin	fibroblast_other	TPPP3			-0.998
tabib2021	skin	fibroblast_other	ZDHHC1			-0.428
tabib2021	skin	fibroblast_other	NUTF2			0.646
tabib2021	skin	fibroblast_other	PLA2G15			0.672
tabib2021	skin	fibroblast_other	SLC7A6			0.964
tabib2021	skin	fibroblast_other	NOB1			-0.428
tabib2021	skin	fibroblast_other	IL34			0.896
tabib2021	skin	fibroblast_other	TXNL4B			0.749
tabib2021	skin	fibroblast_other	DHX38			-0.425
tabib2021	skin	fibroblast_other	BCAR1	BCAR1__cyto	M2	0.817
tabib2021	skin	fibroblast_other	HSBP1			0.386
tabib2021	skin	fibroblast_other	MAP1LC3B			0.295
tabib2021	skin	fibroblast_other	PIEZO1			0.914
tabib2021	skin	fibroblast_other	GALNS			0.738
tabib2021	skin	fibroblast_other	CPNE7			7.068
tabib2021	skin	fibroblast_other	GEMIN4			-0.865
tabib2021	skin	fibroblast_other	GLOD4			-0.518
tabib2021	skin	fibroblast_other	PRPF8			-0.463
