rank	hub_species	module	hub_score	hgnc_symbol	drug	approved	interaction_types	sources	score	ssc_context
ssc_target	target__EDNRA	-	-	EDNRA	AMBRISENTAN	yes	inhibitor	TEND;TTD;TdgClinicalTrial;ChEMBL	1.815784297700366	endothelin antagonist — PAH
ssc_target	target__EDNRA	-	-	EDNRA	MACITENTAN	yes	inhibitor	TTD;TdgClinicalTrial;ChEMBL	1.702297779094093	endothelin antagonist — PAH
ssc_target	target__EDNRB	-	-	EDNRB	MACITENTAN	yes	inhibitor	TTD;TdgClinicalTrial;ChEMBL	2.796632065654582	endothelin antagonist — PAH
ssc_target	target__EDNRB	-	-	EDNRB	AMBRISENTAN	yes	inhibitor	TEND;TdgClinicalTrial;ChEMBL	2.237305652523665	endothelin antagonist — PAH
ssc_target	target__MS4A1	-	-	MS4A1	RITUXIMAB	yes	antibody;binder	TEND;TTD;MyCancerGenome;TdgClinicalTrial;PharmGKB;ChEMBL;FDA	0.7808260468209374	anti-CD20 (rituximab) — RECITAL trial in SSc-ILD
ssc_target	target__CD19	-	-	CD19	INEBILIZUMAB	yes	binder	TTD;ChEMBL	1.305094963972138	anti-CD19 — exploratory
ssc_target	target__PDE5A	-	-	PDE5A	SILDENAFIL	yes	inhibitor	TEND;TdgClinicalTrial;ChEMBL;GuideToPharmacology	0.5932249836236992	PDE5 inhibitor — Raynaud / digital ulcers
ssc_target	target__PDE5A	-	-	PDE5A	TADALAFIL	yes	inhibitor	TEND;TTD;TdgClinicalTrial;ChEMBL;GuideToPharmacology	2.039210881206466	PDE5 inhibitor — Raynaud
ssc_target	target__NOS3	-	-	NOS3	SILDENAFIL	yes		PharmGKB	0.3389857049278281	PDE5 inhibitor — Raynaud / digital ulcers
ssc_target	target__GUCY1A1	-	-	GUCY1A1	RIOCIGUAT	yes	positive modulator	TdgClinicalTrial;ChEMBL	1.392101294903614	sGC stimulator — RISE-SSc PAH
ssc_target	target__BTK	-	-	BTK	IBRUTINIB	yes	inhibitor	CGI;TTD;MyCancerGenome;CIViC;DoCM;TdgClinicalTrial;PharmGKB;DTC;ChEMBL;COSMIC	0.3838514599918053	BTK inhibitor — B-cell axis repurposing
ssc_target	target__TYK2	-	-	TYK2	RUXOLITINIB	yes	inhibitor	GuideToPharmacology	0.04869757328254247	JAK1/2 — SSc repurposing
ssc_target	target__TYK2	-	-	TYK2	BARICITINIB	yes	inhibitor	GuideToPharmacology	0.07083283386551632	JAK1/2 — SSc repurposing
ssc_target	target__TYK2	-	-	TYK2	TOFACITINIB	yes	inhibitor	DTC;ChEMBL;GuideToPharmacology	0.2226174778630513	JAK1/3 — SSc repurposing rationale
