species	module	degree	in_degree	out_degree	betweenness	closeness	pagerank	eigenvector	hub_score
NOTCH1__cyto	M3	6	0	6	0.040519	0.071961	0.000891	0.000000	2.4295
NOTCH3_JAG1_complex__pm	M3	3	3	0	0.005707	0.056153	0.002785	0.000000	0.0097
NOTCH3__pm	ssc_tier1	1	0	1	0.000000	0.052266	0.000891	0.000000	-0.9116
NO__ext	ssc_tier1	2	1	1	0.002857	0.052376	0.001649	0.000000	-0.4508
NUMB__cyto	M3	1	0	1	0.000000	0.060565	0.000891	0.000000	-0.9116
N_ter_PDGFA_2_fragment__golgi	M2	2	2	0	0.000023	0.010626	0.001252	0.278642	-0.5628
N_ter_PDGF_A_fragment__golgi	M2	2	2	0	0.000043	0.010626	0.001378	0.235667	-0.5620
Novel_PDGF_precursor_dimers_CC_DD__ext	M2	3	1	2	0.000025	0.006072	0.001649	0.557345	-0.2148
Novel_PDGF_precursor_dimers_CC_DD__golgi	M2	1	0	1	0.000000	0.003795	0.000891	0.260956	-0.9116
OAS_family__cyto	M1	2	2	0	0.000000	0.029056	0.000977	0.130207	-0.5637
OSMR_JAK1__cyto	M4	1	0	1	0.000000	0.002530	0.000891	0.500000	-0.9116
OSMR__cyto	M4	1	0	1	0.000000	0.065370	0.000891	0.000000	-0.9116
OSM_OSMR_LIFR__cyto	M4	2	2	0	0.000007	0.003795	0.002406	0.707107	-0.5634
OSM__ext	M4	1	0	1	0.000000	0.002530	0.000891	0.500000	-0.9116
PCAF__nuc	M3	3	2	1	0.000695	0.079160	0.001322	0.000001	-0.1884
PDE5A__cyto	ssc_tier1	1	0	1	0.000000	0.048979	0.000891	0.000000	-0.9116
PDGFA__ext	M2	1	0	1	0.000000	0.116098	0.000891	0.000780	-0.9116
PDGFB__ext	M2	1	0	1	0.000000	0.116098	0.000891	0.000780	-0.9116
PDGFRA_PDGFRB__cyto	M2	2	0	2	0.000000	0.080222	0.000891	0.000003	-0.5637
PDGFRA__cyto	M2	2	0	2	0.019697	0.116732	0.000891	0.000798	0.2148
PDGFRA_olaratumab__cyto	M2	3	2	1	0.016962	0.101517	0.002028	0.000122	0.4546
PDGFRB__pm	M2	1	0	1	0.000000	0.116098	0.000891	0.000780	-0.9116
PDGFR_type_II_PDGFR_binding_TKIs__cyto	M2	3	2	1	0.002857	0.080244	0.002028	0.000003	-0.1029
PDGFR_type_I_PDGFR_binding_TKIs__cyto	M2	4	2	2	0.003142	0.111426	0.001901	0.103179	0.2563
PDGF_A_B_heterodimer__ext	M2	2	2	0	0.000023	0.010626	0.001252	0.278642	-0.5628
PDGF_A_and_B_chains_ECM_complex__ext	M2	2	2	0	0.000007	0.003795	0.002406	0.707107	-0.5634
PDGF_A_and_B_chains_with_retention_motif__ext	M2	1	0	1	0.000000	0.002530	0.000891	0.500000	-0.9116
PDGF_PDGF_receptor_dimer__cyto	M2	4	4	0	0.011364	0.089703	0.005475	0.000019	0.5812
PDGF_Phospho_PDGFR_receptor_dimer_Nck__cyto	M2	2	2	0	0.002857	0.090902	0.001801	0.009577	-0.4508
PDGF_Phospho_PDGF_receptor_dimer_Crk__cyto	M2	3	2	1	0.011364	0.091068	0.001801	0.009802	0.2333
PDGF_Phospho_PDGF_receptor_dimer_Crk_p130Cas_C3G__cyto	M2	3	3	0	0.005707	0.081357	0.003938	0.001503	0.0097
PDGF_Phospho_PDGF_receptor_dimer_Grb2_Sos1__cyto	M2	4	2	2	0.014173	0.091124	0.001801	0.010061	0.6923
PDGF_Phospho_PDGF_receptor_dimer_Grb7__cyto	M2	2	2	0	0.002857	0.090902	0.001801	0.009577	-0.4508
PDGF_Phospho_PDGF_receptor_dimer_MyrG_SRC__cyto	M2	4	2	2	0.013823	0.113069	0.001801	0.095176	0.6784
PDGF_Phospho_PDGF_receptor_dimer_MyrG_p_Y419_SRC__cyto	M2	2	2	0	0.000266	0.108201	0.001697	0.070913	-0.5532
PDGF_Phospho_PDGF_receptor_dimer_PI3K__cyto	M2	4	2	2	0.013768	0.113069	0.001801	0.097101	0.6763
PDGF_Phospho_PDGF_receptor_dimer_PLC_gamma__cyto	M2	4	2	2	0.014033	0.113069	0.001801	0.096883	0.6867
PDGF_Phospho_PDGF_receptor_dimer_SHP2__cyto	M2	2	2	0	0.002994	0.093197	0.001233	0.015417	-0.4454
PDGF_Phospho_PDGF_receptor_dimer__cyto	M2	10	1	9	0.049436	0.103269	0.001612	0.063881	4.1735
PDGF_alpha_beta_PDGF_AB_and_BB_dimers__cyto	M2	2	0	2	0.000376	0.111302	0.000891	0.083505	-0.5489
PDGF_alpha_receptor_PDGF_dimers__cyto	M2	3	0	3	0.000285	0.111385	0.000891	0.101243	-0.2046
PDGF_beta_receptor_PDGF_chain_B_homodimer__cyto	M2	2	0	2	0.001128	0.111468	0.000891	0.083739	-0.5191
PDGF_p_PDGFR_dimer_p_PLCgamma__cyto	M2	4	2	2	0.018533	0.109229	0.001697	0.082305	0.8646
PDGF_phospho_PDGF_receptor_dimer_STAT__cyto	M2	2	2	0	0.002857	0.090902	0.001801	0.009577	-0.4508
PDGF_precursor_dimers_AA_BB_A_B_CC_DD__er	M2	1	0	1	0.000000	0.001898	0.000891	0.707107	-0.9116
PDGF_precursor_dimers_AA_BB_A_B_CC_DD__golgi	M2	1	1	0	0.000000	0.001898	0.001649	0.707107	-0.9116
PI3K__cyto	M2	1	0	1	0.000000	0.098345	0.000891	0.014244	-0.9116
PI_3_4_5_P3__cyto	M2	3	3	0	0.000447	0.108280	0.002076	0.083758	-0.1982
PI_4_5_P2__cyto	M2	2	0	2	0.000284	0.111302	0.000891	0.085641	-0.5525
PLCG1__cyto	M2	1	0	1	0.000000	0.098345	0.000891	0.014212	-0.9116
PMEPA1__cyto	M2	1	0	1	0.000000	0.081446	0.000891	0.000182	-0.9116
PMEPA1__endo	M2	1	0	1	0.000000	0.084055	0.000891	0.000072	-0.9116
POSTN__ecm	ssc_tier1	2	1	1	0.000197	0.120933	0.001008	0.001667	-0.5559
PSMB8__nuc	M1	2	2	0	0.000000	0.029056	0.000977	0.130207	-0.5637
PTPN11__cyto	M1,M2,M4	4	0	4	0.005011	0.102351	0.000891	0.041218	0.3301
PTPN12__cyto	M2	2	0	2	0.000186	0.092591	0.000891	0.017854	-0.5564
PTPN1__cyto	M1	2	0	2	0.000000	0.092878	0.000891	0.028346	-0.5637
PTPN2__cyto	ssc_tier1	1	0	1	0.000000	0.002530	0.000891	0.500000	-0.9116
PTPN6_PTPN11__cyto	M1	2	0	2	0.000843	0.112474	0.000891	0.098752	-0.5304
PTPN6__cyto	M1	2	0	2	0.000465	0.101105	0.000891	0.040029	-0.5454
Phospho_PDGF_alpha_beta_dimer_PDGF_AB_or_BB_dimers__cyto	M2	2	2	0	0.000138	0.107385	0.001310	0.069201	-0.5583
Phospho_PDGF_alpha_receptor_PDGF_dimers__cyto	M2	3	3	0	0.000416	0.107540	0.001992	0.086938	-0.1994
Phospho_PDGF_beta_receptor_PDGF_chain_B_homodimer__cyto	M2	3	2	1	0.005833	0.107540	0.001310	0.070792	0.0147
Phospho_beta_receptor_homodimer_GAP__cyto	M2	2	2	0	0.002857	0.094195	0.002762	0.010613	-0.4508
Pi__cyto	M1,M2	11	11	0	0.019701	0.105454	0.006430	0.107136	3.3460
Pi__endo	M2	2	2	0	0.000054	0.093634	0.001764	0.004100	-0.5616
Pre_TGFB1_complex__golgi	M2	1	0	1	0.000000	0.008855	0.000891	0.076269	-0.9116
RAPGEF1__cyto	M2	1	0	1	0.000000	0.073445	0.000891	0.000220	-0.9116
RASA1__cyto	M2	1	0	1	0.000000	0.083749	0.000891	0.001557	-0.9116
RBPJ_NCOR_corepressor_complex__nuc	M3	2	0	2	0.000105	0.086837	0.000891	0.000005	-0.5596
RBPJ_SNW1__nuc	M3	2	2	0	0.000001	0.071840	0.001322	0.000000	-0.5637
RBPJ__pm	ssc_tier1	1	0	1	0.000000	0.052266	0.000891	0.000000	-0.9116
RHOA__cyto	ssc_tier1	1	0	1	0.000000	0.104863	0.000891	0.000382	-0.9116
RNASEL__cyto	M1	2	2	0	0.000000	0.029056	0.000977	0.130207	-0.5637
RNASEL_dimer__mito	M1	1	0	1	0.000000	0.002530	0.000891	0.500000	-0.9116
ROCK1__cyto	ssc_tier1	1	0	1	0.000000	0.104863	0.000891	0.000382	-0.9116
ROCK2__cyto	ssc_tier1	1	0	1	0.000000	0.104863	0.000891	0.000382	-0.9116
RORC__nuc	ssc_tier1	1	0	1	0.000000	0.068280	0.000891	0.000001	-0.9116
RSAD2__er	M1	2	2	0	0.000000	0.029056	0.000977	0.130207	-0.5637
SAMHD1__nuc	M1	2	2	0	0.000000	0.029056	0.000977	0.130207	-0.5637
SMAD2_3_PMEPA1__cyto	M2	2	2	0	0.002857	0.091291	0.002428	0.001244	-0.4508
SMAD2_3__cyto	M2	4	2	2	0.006833	0.103771	0.001834	0.008295	0.4022
SMAD2_SMURF2__cyto	M2	4	2	2	0.000022	0.005693	0.003769	0.707107	0.1329
SMAD2__cyto	M2	1	0	1	0.000000	0.003416	0.000891	0.408248	-0.9116
SMAD3_STUB1__cyto	M2	4	2	2	0.005707	0.101139	0.003175	0.000320	0.3576
SMAD3__cyto	M2	2	0	2	0.008528	0.116596	0.000891	0.002090	-0.2266
SMAD3_p__cyto	M2	3	2	1	0.087405	0.137503	0.001570	0.013929	3.2391
SMAD3p_SMAD4__nuc	M2	21	2	19	0.179690	0.143852	0.002605	0.008980	13.1489
SMAD4__cyto	M2	2	0	2	0.012550	0.122922	0.000891	0.001418	-0.0677
SMAD7_NEDD4L__cyto	M2	1	1	0	0.000000	0.006506	0.002508	0.129815	-0.9116
SMAD7_NEDD4L__nuc	M2	3	2	1	0.000152	0.008814	0.001901	0.304835	-0.2098
SMAD7_SMURF1_XPO1__nuc	M2	4	2	2	0.000216	0.009108	0.003265	0.431102	0.1406
SMAD7_SMURF1__cyto	M2	1	1	0	0.000000	0.006665	0.002279	0.183587	-0.9116
SMAD7_SMURF1__nuc	M2	3	2	1	0.000281	0.010930	0.001901	0.461562	-0.2047
SMAD7_SMURF2__cyto	M2	1	1	0	0.000000	0.006506	0.002508	0.129815	-0.9116
SMAD7_SMURF2__nuc	M2	3	2	1	0.000152	0.008814	0.001901	0.304835	-0.2098
SMAD7_SMURF_NEDD4L__cyto	M2	1	0	1	0.000000	0.100224	0.000891	0.001941	-0.9116
SMAD7__cyto	M2	5	2	3	0.001837	0.103305	0.001764	0.008730	0.5525
SMAD7__nuc	M2	3	0	3	0.000325	0.011385	0.000891	0.456189	-0.2030
SMURF1__cyto	M2	1	0	1	0.000000	0.084363	0.000891	0.001620	-0.9116
SMURF1__nuc	M2	1	0	1	0.000000	0.007590	0.000891	0.196558	-0.9116
SMURF2__cyto	M2	2	1	1	0.000000	0.003416	0.002487	0.408248	-0.5637
SMURF2__nuc	M2	1	0	1	0.000000	0.006506	0.000891	0.129815	-0.9116
SMURF_NEDD4L__cyto	M2	1	1	0	0.000000	0.100224	0.001720	0.001941	-0.9116
SNAI1__nuc	ssc_tier1	6	2	4	0.006382	0.133692	0.001546	0.005607	1.0801
SNAI2__nuc	ssc_tier1	6	2	4	0.144922	0.135325	0.001608	0.002895	6.5563
SOCS1__cyto	ssc_tier1	1	0	1	0.000000	0.002530	0.000891	0.500000	-0.9116
SOCS3__cyto	M4	1	0	1	0.000000	0.097226	0.000891	0.019358	-0.9116
SOCS_family__cyto	M1	1	0	1	0.000000	0.098281	0.000891	0.019526	-0.9116
STAT1_3_homo_and_heterodimers__nuc	M4	1	1	0	0.000000	0.079181	0.002734	0.000697	-0.9116
STAT1_STAT2_N__cyto	M1	2	0	2	0.000843	0.112474	0.000891	0.098752	-0.5304
STAT1_STAT3__cyto	M4	1	0	1	0.000000	0.097226	0.000891	0.019358	-0.9116
STAT1__cyto	M1	2	0	2	0.000843	0.112474	0.000891	0.098752	-0.5304
STAT1_iso1__cyto	M1	2	0	2	0.000282	0.111302	0.000891	0.087651	-0.5526
STAT2__cyto	M1	1	0	1	0.000000	0.097353	0.000891	0.018483	-0.9116
STAT3__cyto	crosstalk	2	0	2	0.003540	0.123684	0.000891	0.001243	-0.4238
STAT6__cyto	crosstalk	2	0	2	0.000056	0.110684	0.000891	0.000765	-0.5615
STAT6_p__cyto	M4	5	4	1	0.011385	0.097480	0.006068	0.000196	0.9300
STAT6_p_dimer__nuc	M4	4	1	3	0.014146	0.111302	0.006050	0.001097	0.6912
STAT_family_members__cyto	M2	1	0	1	0.000000	0.081136	0.000891	0.001405	-0.9116
STRAP__cyto	M2	1	0	1	0.000000	0.099989	0.000891	0.001915	-0.9116
STUB1__cyto	M2	2	1	1	0.000000	0.089194	0.002236	0.000047	-0.5637
SYK__cyto	ssc_tier1	1	0	1	0.000000	0.092362	0.000891	0.000056	-0.9116
TAZ__cyto	ssc_tier1	1	0	1	0.000000	0.104863	0.000891	0.000382	-0.9116
TBK1__cyto	ssc_tier1	1	0	1	0.000000	0.091235	0.000891	0.000022	-0.9116
TBX21__nuc	ssc_tier1	1	0	1	0.000000	0.068280	0.000891	0.000001	-0.9116
TBX2__nuc	ssc_tier1	1	0	1	0.000000	0.085841	0.000891	0.000017	-0.9116
TBXA2R__pm	ssc_tier1	1	0	1	0.000000	0.002530	0.000891	0.500000	-0.9116
TBXA2R_signal__pm	M3	2	2	0	0.000007	0.003795	0.002406	0.707107	-0.5634
TEK__pm	ssc_tier1	3	0	3	0.011371	0.118302	0.000891	0.000904	0.2336
TGFB1_LAP1__ext	M2	2	1	1	0.000173	0.009787	0.002385	0.085967	-0.5569
TGFB1_TGFB2_TGFBR3_TGFBR2__cyto	M2	3	0	3	0.000816	0.119675	0.000891	0.021946	-0.1836
TGFB1_TGFBR2_TGFBR1__cyto	M2	6	4	2	0.184494	0.141003	0.002795	0.099789	8.1205
TGFB1_TGFBR2_TGFBR1__endo	M2	2	2	0	0.000054	0.093634	0.001764	0.004100	-0.5616
TGFB1_TGFBR2_Ub_p_TGFBR1_Ub_SMAD7_UCHL5_USP15__cyto	M2	4	2	2	0.001759	0.092021	0.005012	0.003233	0.2016
TGFB1_TGFBR2_Ub_p_TGFBR1_Ub_SMAD7__cyto	M2	2	1	1	0.003715	0.101208	0.001720	0.002415	-0.4169
TGFB1_TGFBR2_p_TGFBR1_BAMBI_SMAD7__cyto	M2	3	3	0	0.004533	0.115873	0.002449	0.013884	-0.0366
TGFB1_TGFBR2_p_TGFBR1_SMAD7_SMURF_NEDD4L__cyto	M2	4	2	2	0.011961	0.115560	0.001949	0.013228	0.6049
TGFB1_TGFBR2_p_TGFBR1_Ub_SMAD7__cyto	M2	2	2	0	0.000456	0.090902	0.003122	0.009813	-0.5457
TGFB1_TGFBR2_p_TGFBR1__cyto	M2	8	2	6	0.118622	0.135570	0.002119	0.083882	6.2125
TGFB1__ext	M2	8	3	5	0.193424	0.147107	0.003164	0.019169	9.1692
TGFB1_dimer__ext	M2	1	0	1	0.000000	0.103771	0.000891	0.005243	-0.9116
TGFB1_p_TGFBR_I_SMAD7_GADD34_PP1_ZFYVE9__endo	M2	8	3	5	0.005988	0.101897	0.004578	0.006139	1.7603
TGFB1_p_TGFBR_I_SMAD7__cyto	M2	3	2	1	0.009955	0.116008	0.001691	0.014486	0.1777
TGFB1_p_TGFBR_STRAP_SMAD7__cyto	M2	2	2	0	0.000107	0.101413	0.003048	0.003196	-0.5595
TGFB1_p_TGFBR_STRAP__cyto	M2	3	2	1	0.005409	0.115248	0.001949	0.013055	-0.0020
TGFB1_p_TGFBR_ZFYVE9_SMAD2_3__endo	M2	5	3	2	0.020376	0.116824	0.002721	0.015218	1.2853
TGFB1_p_TGFBR_ZFYVE9__endo	M2	1	1	0	0.000000	0.089972	0.001923	0.000424	-0.9116
TGFB1_p_TGFBR_ZFYVE9_p_2S_SMAD2_3__endo	M2	4	2	2	0.005456	0.102141	0.002426	0.002888	0.3477
TGFB3_LAP3__ext	M2	1	0	1	0.000000	0.002530	0.000891	0.500000	-0.9116
TGFBR1_FKBP1A__cyto	M2	3	0	3	0.004772	0.119341	0.000891	0.019462	-0.0272
TGFBR2_CBL__cyto	M2	5	2	3	0.007607	0.092391	0.001997	0.001293	0.7806
TGFBR2__cyto	M2	2	0	2	0.009524	0.104205	0.000891	0.005433	-0.1873
TGFBR3_1_783_TGFB1_TGFB2__ext	M2	1	0	1	0.000000	0.103771	0.000891	0.005243	-0.9116
TGFB_LAP__ext	M2	1	0	1	0.000000	0.002530	0.000891	0.500000	-0.9116
TGF_beta_1_LAP1__golgi	M2	3	2	1	0.000310	0.012825	0.001757	0.239540	-0.2036
TGF_beta_3_LAP3_LAP3_binding_integrins__ext	M2	2	2	0	0.000007	0.003795	0.002406	0.707107	-0.5634
THBS1__ecm	ssc_tier1	1	0	1	0.000000	0.123124	0.000891	0.002812	-0.9116
TICAM1__cyto	ssc_tier1	1	0	1	0.000000	0.090792	0.000891	0.000023	-0.9116
TLE__nuc	M3	1	0	1	0.000000	0.060284	0.000891	0.000000	-0.9116
TLR3__endo	ssc_tier1	1	0	1	0.000000	0.090792	0.000891	0.000023	-0.9116
TLR7__endo	ssc_tier1	1	0	1	0.000000	0.090792	0.000891	0.000023	-0.9116
TLR8__endo	ssc_tier1	1	0	1	0.000000	0.090792	0.000891	0.000023	-0.9116
TLR9__endo	ssc_tier1	1	0	1	0.000000	0.090792	0.000891	0.000023	-0.9116
TMEM173__cyto	ssc_tier1	1	0	1	0.000000	0.081579	0.000891	0.000003	-0.9116
TMEM173_active__er	M1	3	2	1	0.011364	0.091458	0.003695	0.000023	0.2333
TNC__ecm	ssc_tier1	2	2	0	0.001370	0.121474	0.002707	0.001699	-0.5096
TNFSF13B__ext	ssc_tier1	2	0	2	0.000007	0.005060	0.000891	0.464705	-0.5634
TNFSF13__ext	ssc_tier1	1	0	1	0.000000	0.003795	0.000891	0.260956	-0.9116
TOP1__ext	M4	1	0	1	0.000000	0.116098	0.000891	0.000780	-0.9116
TWIST1__nuc	ssc_tier1	1	1	0	0.000000	0.120836	0.001008	0.001317	-0.9116
TYK2_inhibitors__cyto	M1	1	0	1	0.000000	0.087524	0.000891	0.004274	-0.9116
Th2_cell__cell	M4	1	1	0	0.000000	0.062645	0.001270	0.000000	-0.9116
Th_lineage_committed__cell	M4	5	4	1	0.014206	0.075067	0.003543	0.000007	1.0415
Tight_Junction_Complex_PARD6A_RHOA__cyto	M2	1	0	1	0.000000	0.094224	0.000891	0.002759	-0.9116
Tight_Junction_Complex_TGFB1_TGFBR2_TGFBR1_PARD6A_RHOA__cyto	M2	4	2	2	0.006037	0.112474	0.002560	0.091927	0.3707
Tight_Junction_Complex_TGFB1_TGFBR2_p_TGFBR1_p_PARD6A_RHOA_SMURF1__cyto	M2	3	2	1	0.005707	0.094972	0.003365	0.011046	0.0097
Tight_Junction_Complex_TGFB1_TGFBR2_p_TGFBR1_p_PARD6A_RHOA__cyto	M2	3	2	1	0.008829	0.108476	0.002019	0.072056	0.1331
Tight_Junction_Complex_TGFB1_TGFBR2_p_TGFBR1_p_PARD6A_Ub_RHOA_SMURF1__cyto	M2	1	1	0	0.000000	0.084363	0.003752	0.001620	-0.9116
Tight_Junction_Complex_TGFBR1_PARD6A_RHOA__cyto	M2	4	2	2	0.003054	0.107656	0.001901	0.018810	0.2528
Tyrosine_phosphorylated_IL6_receptor_hexamer_Activated_JAKs_PTPN11_CBL__cyto	M4	2	2	0	0.004598	0.098637	0.002104	0.017677	-0.3820
Tyrosine_phosphorylated_IL6_receptor_hexamer_Activated_JAKs_PTPN11__cyto	M4	5	2	3	0.010592	0.112941	0.001714	0.117647	0.8986
Tyrosine_phosphorylated_IL6_receptor_hexamer_Activated_JAKs_SOCS3__cyto	M4	4	2	2	0.003016	0.111593	0.002282	0.131963	0.2513
Tyrosine_phosphorylated_IL6_receptor_hexamer_Activated_JAKs_STAT1_STAT3__cyto	M4	4	2	2	0.003016	0.111593	0.002282	0.131963	0.2513
Tyrosine_phosphorylated_IL6_receptor_hexamer_Activated_JAKs_Tyrosine_phosphorylated_STAT1_STAT3__cyto	M4	7	3	4	0.009537	0.115248	0.002871	0.211341	1.5527
Tyrosine_phosphorylated_IL6_receptor_hexamer_Activated_JAKs_Tyrosine_serine_phosphorylated_STAT1_3__cyto	M4	2	2	0	0.000000	0.107617	0.001541	0.087953	-0.5637
Tyrosine_phosphorylated_IL6_receptor_hexamer_Activated_JAKs__cyto	M4	6	3	3	0.001129	0.108555	0.002235	0.168836	0.8725
UCHL5_USP15__cyto	M2	3	2	1	0.000456	0.090902	0.003122	0.009813	-0.1978
USP18__cyto	M1	1	0	1	0.000000	0.002530	0.000891	0.500000	-0.9116
Ub_DLL_JAG_NOTCH1__cyto	M3	4	2	2	0.007125	0.093576	0.002406	0.000018	0.4137
Ub_DLL_JAG_NOTCH1_fragment__cyto	M3	2	2	0	0.000011	0.083306	0.002293	0.000005	-0.5633
Ub_DTX_ITCH__cyto	M3	1	1	0	0.000000	0.060272	0.002293	0.000000	-0.9116
Ub_NOTCH1_DTX_ARRB__cyto	M3	2	2	0	0.002857	0.065384	0.003387	0.000000	-0.4508
Ub_NOTCH1_NUMB_ITCH__cyto	M3	1	1	0	0.000000	0.060565	0.002722	0.000000	-0.9116
Ub_SMAD2__cyto	M2	1	1	0	0.000000	0.003416	0.002487	0.408248	-0.9116
Ub_SMAD3__cyto	M2	1	1	0	0.000000	0.089194	0.002236	0.000047	-0.9116
Ub_p_NICD1__nuc	M3	1	1	0	0.000000	0.060479	0.002729	0.000000	-0.9116
Ubiquitin_ligase__cyto	M3	1	0	1	0.000000	0.060175	0.000891	0.000000	-0.9116
VEGFA_KDR_complex__pm	M3	3	2	1	0.011226	0.065700	0.002712	0.000000	0.2279
VEGFA__ext	ssc_tier1	2	1	1	0.013860	0.071582	0.001251	0.000000	-0.0159
VWF__pm	ssc_tier1	1	0	1	0.000000	0.117929	0.000891	0.000864	-0.9116
XAF1__cyto	M1	2	2	0	0.000000	0.029056	0.000977	0.130207	-0.5637
XBP1__nuc	ssc_tier1	5	4	1	0.008190	0.092936	0.003153	0.000091	0.8037
XPO1__cyto	M2	1	1	0	0.000000	0.006665	0.002279	0.183587	-0.9116
XPO1__nuc	M2	1	0	1	0.000000	0.006665	0.000891	0.183587	-0.9116
YAP1_TAZ_active__nuc	M2	11	6	5	0.016517	0.121770	0.010001	0.002604	3.2201
YAP1__cyto	ssc_tier1	1	0	1	0.000000	0.104863	0.000891	0.000382	-0.9116
ZEB1__nuc	ssc_tier1	2	2	0	0.057837	0.130541	0.001608	0.001417	1.7224
ZEB2__nuc	ssc_tier1	1	1	0	0.000000	0.120836	0.001008	0.001317	-0.9116
ZFYVE9_iso1__endo	M2	4	2	2	0.000793	0.103484	0.001764	0.006332	0.1634
active_PDGF_AA_dimer__ext	M2	2	2	0	0.000043	0.010626	0.001378	0.235667	-0.5620
active_PDGF_BB_dimer__ext	M2	2	2	0	0.000037	0.010626	0.001378	0.247208	-0.5623
cGAMP__cyto	M1	3	2	1	0.005707	0.081668	0.002406	0.000003	0.0097
cGMP__cyto	M3	3	1	2	0.011371	0.056258	0.002293	0.000000	0.2336
dsDNA__cyto	M1	1	0	1	0.000000	0.073698	0.000891	0.000001	-0.9116
fibroblast_proFibrotic__cell	M2	14	13	1	0.181147	0.137187	0.013130	0.005315	10.7713
gamma_secretase_complex__cyto	M3	3	0	3	0.078300	0.108437	0.000891	0.000107	2.8792
multiubiquitinated_STAT2__cyto	M1	1	0	1	0.000000	0.097353	0.000891	0.018483	-0.9116
olaratumab__ext	M2	1	0	1	0.000000	0.089488	0.000891	0.000018	-0.9116
p21_RAS_GDP__cyto	M2	2	0	2	0.000002	0.073517	0.000891	0.000474	-0.5636
p21_RAS_GTP__cyto	M2	3	3	0	0.002846	0.081401	0.002414	0.001615	-0.1033
pDC_activated__cell	M1	4	3	1	0.000386	0.103699	0.006476	0.000391	0.1473
pNICD1__nuc	M3	3	2	1	0.008529	0.071943	0.001322	0.000000	0.1213
p_2S_SMAD2_3_MTMR4__endo	M2	5	2	3	0.007581	0.103448	0.002995	0.018276	0.7796
p_2S_SMAD2_3_PMEPA1__endo	M2	2	2	0	0.002857	0.094582	0.002193	0.000491	-0.4508
p_2S_SMAD2_3_SMAD4__cyto	M2	2	2	0	0.010894	0.112011	0.001815	0.000689	-0.1331
p_2S_SMAD2_3__cyto	M2	4	1	3	0.012764	0.108045	0.001923	0.003278	0.6366
p_4Y_PLCG1__cyto	M2	1	1	0	0.000000	0.095427	0.001612	0.012074	-0.9116
p_NICD1_FBXW7_SKP1_CUL1_RBX1__nuc	M3	4	2	2	0.005707	0.065744	0.004338	0.000000	0.3576
p_PDGFRB_homo_and_heterodimers__cyto	M2	2	0	2	0.000186	0.092591	0.000891	0.017854	-0.5564
p_PDGFRB_homo_and_heterodimers_dephosphorylated_at_Y1021__cyto	M2	3	3	0	0.000075	0.089703	0.001757	0.014576	-0.2129
p_STAT1_dimer_ISGF3__cyto	M1	1	0	1	0.000000	0.003795	0.000891	0.353553	-0.9116
p_STAT1_dimer_KPNA1_KPNB1__cyto	M1	2	2	0	0.000022	0.005060	0.003695	0.500000	-0.5629
p_STAT1_dimer_KPNA1__cyto	M1	3	2	1	0.000036	0.006072	0.002406	0.653281	-0.2144
p_STAT2_p_STAT1__cyto	M1	2	1	1	0.005700	0.096102	0.001506	0.025969	-0.3384
p_TYK2_p_IFNAR1_SOCS_1_SOCS_3_IFNA_B_IFNAR2_p_JAK1_STAT2__cyto	M1	4	2	2	0.002857	0.112984	0.004171	0.133106	0.2450
p_Y701_STAT1_1_dimer__cyto	M1	3	3	0	0.000147	0.107540	0.002136	0.097458	-0.2100
p_Y701_STAT1_KPNA1_KPNB1__cyto	M1	3	0	3	0.000249	0.014712	0.000891	0.000288	-0.2060
p_Y701_STAT1_dimer__nuc	M1	1	1	0	0.000000	0.012107	0.001144	0.000036	-0.9116
p_Y701_STAT1_dimer_p_Y705_STAT3_dimer_p_Y701_STAT1_p_Y705_STAT3__cyto	M4	2	1	1	0.002857	0.088456	0.002167	0.004752	-0.4508
p_Y701_STAT1_p_Y705_STAT3__cyto	M4	2	1	1	0.005700	0.100123	0.001501	0.031699	-0.3384
phenotype_ECM_deposition__ecm	M2	6	6	0	0.002512	0.121031	0.010490	0.002384	0.9271
phenotype_ISG_signature__cell	M1	1	1	0	0.000000	0.026718	0.000917	0.065096	-0.9116
phenotype_autoAb_production__ext	M4	4	4	0	0.016931	0.083121	0.011956	0.000041	0.8013
phenotype_myofibroblast_activation__cell	M2	4	4	0	0.018399	0.127643	0.017216	0.001509	0.8593
phenotype_vascular_remodelling__cell	M3	3	3	0	0.014221	0.060688	0.005646	0.000000	0.3463
proPDGF_AA_dimer__golgi	M2	2	0	2	0.000004	0.008085	0.000891	0.150071	-0.5636
proPDGF_AB_dimer__golgi	M2	3	0	3	0.000016	0.008855	0.000891	0.285045	-0.2152
proPDGF_BB_dimer__golgi	M2	2	0	2	0.000005	0.008453	0.000891	0.186317	-0.5635
rituximab_bound_Bcell__pm	M4	1	1	0	0.000000	0.082479	0.003575	0.000013	-0.9116
serine_type_endopeptidases_involved_in_novel_PDGF_processing__ext	M2	2	0	2	0.000004	0.004337	0.000891	0.435162	-0.5636
stiffened_ECM__ecm	M2	5	4	1	0.000521	0.114061	0.006259	0.001604	0.5005
type_1_interferon_analogs__ext	M1	1	0	1	0.000000	0.078681	0.000891	0.000715	-0.9116
type_II_PDGFR_binding_tyrosine_kinase_inhibitors__cyto	M2	1	0	1	0.000000	0.072537	0.000891	0.000000	-0.9116
type_I_PDGFR_binding_tyrosine_kinase_inhibitors__cyto	M2	1	0	1	0.000000	0.097100	0.000891	0.015136	-0.9116
