kegg_pathway	label	module_hint	kegg_size	mim_size	intersect	mim_only	kegg_only	jaccard
hsa04350_TGFb	TGF-β signalling	M2	110	236	18	218	92	0.0549
hsa04060_cytokine	Cytokine-cytokine receptor interaction	M4	298	236	30	206	268	0.0595
hsa04630_jakstat	JAK-STAT signalling	M1+M4	167	236	42	194	125	0.1163
