species_id	module	nearest_sink_distance	to_M1_ISG_signature	to_M2_ECM_myofibroblast	to_M3_vascular_remodelling	to_M4_Th2_autoAb_output	is_sink
phenotype_ISG_signature__cell	M1	0	0	-1	-1	4	yes
phenotype_autoAb_production__ext	M4	-1	-1	-1	-1	-1	no
phenotype_myofibroblast_activation__cell	M2	1	-1	1	3	2	no
phenotype_vascular_remodelling__cell	M3	4	-1	8	4	9	no
proPDGF_AA_dimer__golgi	M2	-1	-1	-1	-1	-1	no
proPDGF_AB_dimer__golgi	M2	-1	-1	-1	-1	-1	no
proPDGF_BB_dimer__golgi	M2	-1	-1	-1	-1	-1	no
rituximab_bound_Bcell__pm	M4	-1	-1	-1	-1	-1	no
serine_type_endopeptidases_involved_in_novel_PDGF_processing__ext	M2	-1	-1	-1	-1	-1	no
stiffened_ECM__ecm	M2	1	-1	1	3	2	no
type_1_interferon_analogs__ext	M1	5	-1	7	8	5	no
type_II_PDGFR_binding_tyrosine_kinase_inhibitors__cyto	M2	5	-1	5	7	5	no
type_I_PDGFR_binding_tyrosine_kinase_inhibitors__cyto	M2	3	-1	5	6	3	no
vasoconstriction__cell	M3	4	-1	8	4	9	no
