species_id	log2fc	color
CD31__pm	0.379	#d7191c
COL1A2__ext	-0.309	#2c7fb8
COL3A1__ext	-0.327	#2c7fb8
CTGF__ext	0.654	#d7191c
EDNRA__pm	0.207	#d7191c
EGR1__cyto	0.348	#d7191c
FSP1__pm	-0.469	#2c7fb8
IFI27__mito	0.659	#d7191c
IFI6__cyto	0.248	#d7191c
IFITM1__cyto	0.497	#d7191c
IFITM3__cyto	0.366	#d7191c
ISG15__cyto	0.223	#d7191c
JAG1__cyto	0.251	#d7191c
NOTCH3__pm	0.322	#d7191c
SOCS3__cyto	0.259	#d7191c
TGFBR2__cyto	0.334	#d7191c
VWF__pm	0.296	#d7191c
XAF1__cyto	0.211	#d7191c
