species_id	log2fc	color
ANGPT2__ext	0.434	#d7191c
EDNRB__pm	-0.339	#2c7fb8
FKBP1A__cyto	0.471	#d7191c
IFI6__cyto	0.338	#d7191c
IFITM2__cyto	0.292	#d7191c
IFITM3__cyto	0.401	#d7191c
ISG15__cyto	0.313	#d7191c
LTBP4__ext	-0.223	#2c7fb8
POSTN__ecm	0.238	#d7191c
THBS1__ecm	0.293	#d7191c
VWF__pm	0.376	#d7191c
