species_id	log2fc	color
BST2__ext	0.703	#d7191c
CD79A__pm	4.092	#d7191c
IFI27__mito	2.845	#d7191c
IFI6__cyto	1.975	#d7191c
IFITM1__cyto	3.206	#d7191c
IFITM2__cyto	1.131	#d7191c
IFITM3__cyto	1.519	#d7191c
IRF7__cyto	1.217	#d7191c
ISG15__cyto	1.008	#d7191c
PTPN6__cyto	0.636	#d7191c
RHOA__cyto	0.476	#d7191c
ROCK1__cyto	-0.320	#2c7fb8
TGFB1__ext	0.677	#d7191c
THBS1__ecm	5.056	#d7191c
