species_id	log2fc	color
DPP4__pm	-1.240	#2c7fb8
IFITM3__cyto	0.517	#d7191c
LPAR1__pm	-0.978	#2c7fb8
POSTN__ecm	1.002	#d7191c
SMAD3__cyto	-1.187	#2c7fb8
