species_id	log2fc	color
CXCL4__ext	1.257	#d7191c
IFI27__mito	0.908	#d7191c
IFIT2__cyto	1.081	#d7191c
IL6__ext	0.821	#d7191c
IRF7__cyto	0.876	#d7191c
ISG15__cyto	0.544	#d7191c
