species_id	log2fc	color
ANGPT2__ext	1.064	#d7191c
BLIMP1__nuc	1.455	#d7191c
BST2__ext	1.130	#d7191c
CD31__pm	2.073	#d7191c
CDH5__pm	0.732	#d7191c
CNTN1__cyto	-0.702	#2c7fb8
COL1A2__ext	-0.237	#2c7fb8
COL5A2__ext	0.313	#d7191c
COMP__ecm	1.407	#d7191c
CREB3L1__nuc	-0.549	#2c7fb8
CRLF1__cyto	1.513	#d7191c
DPP4__pm	-1.224	#2c7fb8
FLI1__nuc	1.343	#d7191c
FSP1__pm	-0.628	#2c7fb8
HIF1A__nuc	0.864	#d7191c
IFI27__mito	1.862	#d7191c
IFI6__cyto	0.787	#d7191c
IFITM1__cyto	0.516	#d7191c
IFITM3__cyto	0.342	#d7191c
ISG15__cyto	1.552	#d7191c
JAG1__cyto	0.751	#d7191c
JUNB__nuc	0.867	#d7191c
LGALS3__ext	-0.450	#2c7fb8
LTBP1__ecm	-0.600	#2c7fb8
LTBP4__ext	-0.758	#2c7fb8
MMP1__ext	32.419	#d7191c
OSMR__cyto	0.596	#d7191c
RHOA__cyto	-0.333	#2c7fb8
RSAD2__er	2.057	#d7191c
RUNX1__nuc	0.798	#d7191c
STAT1__cyto	0.806	#d7191c
TGFBR2__cyto	0.461	#d7191c
VWF__pm	1.884	#d7191c
