species_id	log2fc	color
ACTA2__cyto	0.367	#d7191c
IFI27__mito	1.894	#d7191c
IFI6__cyto	1.402	#d7191c
IFITM2__cyto	0.550	#d7191c
IFITM3__cyto	0.684	#d7191c
ISG15__cyto	1.912	#d7191c
JAK2__cyto	0.795	#d7191c
