reaction_id	type	participants	mechanism	pmid	evidence_code	context_biotype	context_assay	module	crosstalk_modules	notes
M4_reaction_1112727	TODO	species_113592;species_1112524;species_1112759;species_29370	Serine phosphorylation of STATs	10851062;14673173;9153303;9343414;10446219;11429693;19797267	ECO:0000305			M4		auto-imported from R-HSA-1059683.owl
M4_reaction_9681294	TODO	species_9715042;species_197824;species_9681293	IL6R binds IL6R inhibitors	12483717;32306778;33314148;31992476;32234467;32243501;32350134;33081825;32797372;33579777;32253759;33550688;33167776	ECO:0000305			M4		auto-imported from R-HSA-1059683.owl
M4_reaction_1112602	TODO	species_1112576;species_113592;species_29370;species_1112524	Tyrosine phosphorylation of STAT1, STAT3 by IL6 receptor	8662795;7510216;8140422;7512451;8626374	ECO:0000305			M4		auto-imported from R-HSA-1059683.owl
M4_reaction_1067646	TODO	species_448453;species_1067656;species_1067690	JAK1,JAK2,(TYK2) bind IL6ST	8272873;11468294;12773095;8134389;7537214;10861237;11557047;9590172	ECO:0000305			M4		auto-imported from R-HSA-1059683.owl
M4_reaction_1112538	TODO	species_1112571;species_1112537	Phosphorylated STAT1, STAT3 form dimers	8140422;9630226;16868551	ECO:0000305			M4		auto-imported from R-HSA-1059683.owl
M4_reaction_1112690	TODO	species_1112758;species_112199;species_1112744	PTPN11 binds CBL	18519587	ECO:0000305			M4		auto-imported from R-HSA-1059683.owl
M4_reaction_1067651	TODO	species_1067687;species_1067690;species_1067691	IL6:IL6R-2 binds IL6ST:JAK1, JAK2, (TYK2)	2788034;2261637;16707558	ECO:0000305			M4		auto-imported from R-HSA-1059683.owl
M4_reaction_1112703	TODO	species_1112758;species_113592;species_29370;species_1112753	PTPN11 is phosphorylated	9794795;10409724;11684012;9285712	ECO:0000305			M4		auto-imported from R-HSA-1059683.owl
M4_reaction_1112514	TODO	species_1112588;species_113592;species_29370;species_1112515	JAK activation	8272873;9382798;8134389;7531704;11742534;11287676;18178840;8986719	ECO:0000305			M4		auto-imported from R-HSA-1059683.owl
M4_reaction_1067688	TODO	species_1067690;species_1067638;species_1067654	IL6:IL6R binds IL6ST:JAK1,JAK2,(TYK2)	2788034	ECO:0000305			M4		auto-imported from R-HSA-1059683.owl
M4_reaction_1067667	TODO	species_197824;species_447100;species_1067638	IL6 binds IL6R	2788034	ECO:0000305			M4		auto-imported from R-HSA-1059683.owl
M4_reaction_1112510	TODO	species_113592;species_1112515;species_29370;species_1112594	IL6ST is tyrosine phosphorylated	7812050;16868551;7871433;8662591	ECO:0000305			M4		auto-imported from R-HSA-1059683.owl
M4_reaction_1112755	TODO	species_873794;species_1112594;species_1112718	SOCS3 binds IL6ST	10777583;10064597;11527983;9419338;9789053;12754505;12403768;9889194	ECO:0000305			M4		auto-imported from R-HSA-1059683.owl
