Name,Relation1,Identifier1,Constant,InitialLevel,MaxLevel,Notes1,Comments
H2O_simple_molecule,isDescribedBy,,True,,1,"module=M1,M2CaSQ-computed function: H2O_simple_molecule",entityVertex_29356_130 H2O__cyto
ADP_simple_molecule,isDescribedBy,,False,,1,"module=M1,M2,M4CaSQ-computed function: ""IFNA/B:IFNAR2:JAK1:STAT2:IFNAR1:TYK2_complex""&ATP_simple_molecule&!""p-TYK2:p-IFNAR1:SOCS-1/SOCS-3:IFNA/B:IFNAR2:p-JAK1:STAT2_complex""|""IFNA/B:IFNAR2:p-JAK1:STAT2:IFNAR1:p-TYK2_complex""&ATP_simple_molecule|""STAT1-1""&ATP_simple_molecule&""IFNA/B:IFNAR2:p-JAK1:STAT2:p-IFNAR1:p-TYK2:p-STAT2_complex""|""IFNA/B:IFNAR2:p-JAK1:STAT2:p-IFNAR1:p-TYK2:STAT2_complex""&ATP_simple_molecule|""IFNA/B:IFNAR2:p-JAK1:STAT2:p-IFNAR1:p-TYK2:p-STAT2_complex""&STAT1_unknown&ATP_simple_molecule&!""PTPN6,PTPN11_unknown""&!""STAT1,STAT2:N_complex""",entityVertex_29370_14 ADP__cyto
Pi_simple_molecule,isDescribedBy,,False,,1,"module=M1,M2CaSQ-computed function: ""IFNA/B:IFNAR2:p-JAK1:STAT2:IFNAR1:p-TYK2_complex""&H2O_simple_molecule&PTPN1|""IFNA/B:IFNAR2:p-JAK1:STAT2:IFNAR1:TYK2_complex""&H2O_simple_molecule&PTPN6|""IFNA/B:IFNAR2:p-JAK1:STAT2:p-IFNAR1:p-TYK2:p-STAT2:p-STAT1_complex""&H2O_simple_molecule&PTPN11",entityVertex_29372_131 Pi__cyto
STAT1-1,isDescribedBy,,True,,1,module=M1CaSQ-computed function: STAT1-1,entityVertex_380745_65 STAT1_iso1__cyto
STAT1_unknown,isDescribedBy,,True,,1,module=M1CaSQ-computed function: STAT1_unknown,entityVertex_380755_50 STAT1__cyto
"PTPN6,PTPN11_unknown",isDescribedBy,,True,,1,"module=M1CaSQ-computed function: PTPN6,PTPN11_unknown",entityVertex_389744_52 PTPN6_PTPN11__cyto
ABCE1,isDescribedBy,,True,,1,module=M1CaSQ-computed function: ABCE1,entityVertex_5216010_424 ABCE1__mito
ABCE1:RNASEL_space_dimer_complex,isDescribedBy,,False,,1,module=M1CaSQ-computed function: RNASEL_space_dimer_complex&ABCE1,entityVertex_5223322_426 ABCE1_RNASEL_dimer__mito
RNASEL_space_dimer_complex,isDescribedBy,,True,,1,module=M1CaSQ-computed function: RNASEL_space_dimer_complex,entityVertex_5357403_425 RNASEL_dimer__mito
ADAR,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",entityVertex_53939_177 ADAR__nuc
BST2,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",entityVertex_5624196_419 BST2__ext
SAMHD1,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",entityVertex_5624198_420 SAMHD1__nuc
RSAD2,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown""&ISGF3_space_bound_space_to_space_ISRE_space_promotor_space_elements_complex",entityVertex_5624199_421 RSAD2__er
SOCS-1_space_and_space_SOCS-3_unknown,isDescribedBy,,True,,1,module=M1CaSQ-computed function: SOCS-1_space_and_space_SOCS-3_unknown,entityVertex_877267_128 SOCS_family__cyto
IFNAR2-2,isDescribedBy,,True,,1,module=M1CaSQ-computed function: IFNAR2-2,entityVertex_877333_127 IFNAR2_iso2__cyto
IRF9,isDescribedBy,,True,,1,module=M1CaSQ-computed function: IRF9,entityVertex_879183_59 IRF9__cyto
STAT2,isDescribedBy,,True,,1,module=M1CaSQ-computed function: STAT2,entityVertex_882029_39 STAT2__cyto
Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown,isDescribedBy,,True,,1,module=M1CaSQ-computed function: Type_space_I_space_IFN-regulated_space_genes_space_with_space_ISRE_space_promoter_space_elements_unknown,entityVertex_9034125_434 ISG_signature__nuc
IFN_space_alpha/beta_space_(IFNA/B)_unknown,isDescribedBy,,True,,1,module=M1CaSQ-computed function: IFN_space_alpha/beta_space_(IFNA/B)_unknown,entityVertex_909690_2 IFN_alpha_beta_IFNA_B__ext
IFNA/B:IFNAR2:p-JAK1:STAT2:p-IFNAR1:p-TYK2:STAT2_complex,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""IFNA/B:IFNAR2:p-JAK1:STAT2:p-IFNAR1:p-TYK2_complex""&STAT2&!multiubiquitinated_space_STAT2_complex",entityVertex_909696_40 IFNA_B_IFNAR2_p_JAK1_STAT2_p_IFNAR1_p_TYK2_STAT2__cyto
IFNA/B:IFNAR2:p-JAK1:STAT2:p-IFNAR1:p-TYK2:p-STAT2_complex,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""IFNA/B:IFNAR2:p-JAK1:STAT2:p-IFNAR1:p-TYK2:STAT2_complex""&ATP_simple_molecule",entityVertex_909697_44 IFNA_B_IFNAR2_p_JAK1_STAT2_p_IFNAR1_p_TYK2_p_STAT2__cyto
ISGF3_complex_cytosol,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""p-STAT2:p-STAT1_complex""&IRF9",entityVertex_909698_60 ISGF3__cyto
p-STAT2:p-STAT1_complex,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""IFNA/B:IFNAR2:p-JAK1:STAT2:p-IFNAR1:p-TYK2:p-STAT2:p-STAT1_complex""",entityVertex_909702_54 p_STAT2_p_STAT1__cyto
IFNA/B:IFNAR2:JAK1:STAT2:IFNAR1:TYK2_complex,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""IFNA/B:IFNAR2:JAK1:STAT2_complex""&""IFNAR1:TYK2_complex""&!""IFNAR1:TYK2:TYK2_space_inhibitors_complex""|""IFNA/B:IFNAR2:p-JAK1:STAT2:IFNAR1:TYK2_complex""&H2O_simple_molecule&PTPN6",entityVertex_909703_7 IFNA_B_IFNAR2_JAK1_STAT2_IFNAR1_TYK2__cyto
IFNA/B:IFNAR2:p-JAK1:STAT2:p-IFNAR1:p-TYK2_complex,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""IFNA/B:IFNAR2:p-JAK1:STAT2:IFNAR1:p-TYK2_complex""&ATP_simple_molecule|""IFNA/B:IFNAR2:p-JAK1:STAT2:p-IFNAR1:p-TYK2:p-STAT2:p-STAT1_complex""",entityVertex_909704_33 IFNA_B_IFNAR2_p_JAK1_STAT2_p_IFNAR1_p_TYK2__cyto
IFNA/B:IFNAR2:p-JAK1:STAT2:IFNAR1:p-TYK2_complex,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""IFNA/B:IFNAR2:JAK1:STAT2:IFNAR1:TYK2_complex""&ATP_simple_molecule&!""p-TYK2:p-IFNAR1:SOCS-1/SOCS-3:IFNA/B:IFNAR2:p-JAK1:STAT2_complex""",entityVertex_909705_13 IFNA_B_IFNAR2_p_JAK1_STAT2_IFNAR1_p_TYK2__cyto
IFNAR1:TYK2_complex,isDescribedBy,,True,,1,module=M1CaSQ-computed function: IFNAR1:TYK2_complex,entityVertex_909708_6 IFNAR1_TYK2__cyto
IFNA/B:IFNAR2:p-JAK1:STAT2:p-IFNAR1:p-TYK2:p-STAT2:p-STAT1_complex,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""IFNA/B:IFNAR2:p-JAK1:STAT2:p-IFNAR1:p-TYK2:p-STAT2_complex""&STAT1_unknown&ATP_simple_molecule&!""PTPN6,PTPN11_unknown""&!""STAT1,STAT2:N_complex""",entityVertex_909711_51 IFNA_B_IFNAR2_p_JAK1_STAT2_p_IFNAR1_p_TYK2_p_STAT2_p_STAT1__cyto
USP18,isDescribedBy,,True,,1,module=M1CaSQ-computed function: USP18,entityVertex_912325_93 USP18__cyto
p-TYK2:p-IFNAR1:SOCS-1/SOCS-3:IFNA/B:IFNAR2:p-JAK1:STAT2_complex,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""IFNA/B:IFNAR2:JAK1:STAT2:IFNAR1:TYK2_complex""&""SOCS-1_space_and_space_SOCS-3_unknown""",entityVertex_912681_86 p_TYK2_p_IFNAR1_SOCS_1_SOCS_3_IFNA_B_IFNAR2_p_JAK1_STAT2__cyto
IFNAR2c:UBP43_complex,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""IFNAR2-2""&USP18",entityVertex_912690_95 IFNAR2c_UBP43__cyto
p-Y701-STAT1-1_space_dimer_complex,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""STAT1-1""&ATP_simple_molecule&""IFNA/B:IFNAR2:p-JAK1:STAT2:p-IFNAR1:p-TYK2:p-STAT2_complex""",entityVertex_913524_66 p_Y701_STAT1_1_dimer__cyto
p-Y701-STAT1_space_dimer_complex,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""p-Y701-STAT1:KPNA1:KPNB1_complex""",entityVertex_913526_75 p_Y701_STAT1_dimer__nuc
ISGF3_complex_nucleus,isDescribedBy,,False,,1,"module=M1CaSQ-computed function: ""ISGF3:KPNA1:KPNB1_complex""",entityVertex_913527_62 ISGF3__nuc
